State,1988,1992,1996,2000,2004,2008,2012,,,,
Alabama,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Alaska,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Arizona,#FF0000,#FF0000,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Arkansas,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
California,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Colorado,#FF0000,#0000FF,#FF0000,#FF0000,#FF0000,#0000FF,#0000FF,,,,
Connecticut,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Delaware,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Florida,#FF0000,#FF0000,#0000FF,#FF0000,#FF0000,#0000FF,#0000FF,,,,
Georgia,#FF0000,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Hawaii,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Idaho,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Illinois,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Indiana,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#0000FF,#FF0000,,,,
Iowa,#0000FF,#0000FF,#0000FF,#0000FF,#FF0000,#0000FF,#0000FF,,,,
Kansas,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Kentucky,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Louisiana,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Maine,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Maryland,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Massachusetts,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Michigan,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Minnesota,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Mississippi,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Missouri,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Montana,#FF0000,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Nebraska,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Nevada,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#0000FF,#0000FF,,,,
New Hampshire,#FF0000,#0000FF,#0000FF,#FF0000,#0000FF,#0000FF,#0000FF,,,,
New Jersey,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
New Mexico,#FF0000,#0000FF,#0000FF,#0000FF,#FF0000,#0000FF,#0000FF,,,,
New York,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
North Carolina,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#0000FF,#FF0000,,,,
North Dakota,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Ohio,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#0000FF,#0000FF,,,,
Oklahoma,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Oregon,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Pennsylvania,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Rhode Island,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
South Carolina,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
South Dakota,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Tennessee,#FF0000,#0000FF,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Texas,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Utah,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Vermont,#FF0000,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Virginia,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#0000FF,#0000FF,,,,
Washington,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
West Virginia,#0000FF,#0000FF,#0000FF,#FF0000,#FF0000,#FF0000,#FF0000,,,,
Wisconsin,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,#0000FF,,,,
Wyoming,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,,,,
,,,,,,,,,,,
,,,,,,,,,,,
